Midterm,Final,Professionalism,Assignment_1,Assignment_2,Project
26,26,10,15,22,23
23.5,23,10,15,24,21
17,24,10,12,24,24
22,29,6,15,27,18
16,32,9,14,15,17
12,25,10,11,16,23
18,24,7,10,25,16
10,19,10,9,11.1,21
11.5,23,9,9,10.1,17
23.5,35,10,15,30,25
23.5,28,8,15,22,22
18.5,25,9,15,28,25
17.5,27,10,11,20.1,22
13,13,10,12,25,19
22,24,10,14,22,25
13.5,26,9,15,24,21
11.5,23,10,15,22,19
21.5,27,10,15,26,20
18,22,10,8,7,16.5
8.5,17,7,13,22,0
27,28,5,11,25,10.25
23.5,30,8,12,27,19
13.5,30,8,9,7,17
26.5,28,10,15,30,7.25
14.5,20,5,13,23,21
20,24,5,13,22,13.25
17,27,9,11,21,25
10.5,25,10,11,16,16.5
20,23,9,14,24,21
15,28,6,8,15,21
16,16,5,0,0,0
6,14,5,0,0,0
16,26,9,9,20,18.25
8.5,24,7,10,5,15
18,28,10,9,12.1,18
